name,profile_page,date_of_birth,age,height,weight,spike,block
Ani Bozdeva,/en/teams/bul-bulgaria/players/ani-bozdeva?id=59903,30/01/1999,20,186,61,300,290
Borislava Saykova,/en/teams/bul-bulgaria/players/borislava-saykova?id=60127,14/07/2000,19,187,80,294,274
Kathryn Dimitrova,/en/teams/bul-bulgaria/players/kathryn-dimitrova?id=59905,27/11/1999,20,190,73,303,296
Aleksandra Milanova,/en/teams/bul-bulgaria/players/aleksandra-milanova?id=59911,04/07/2001,18,180,72,295,284
Monika Krasteva,/en/teams/bul-bulgaria/players/monika-krasteva?id=60119,09/05/1999,20,183,64,292,285
Elena Becheva,/en/teams/bul-bulgaria/players/elena-becheva?id=60114,30/05/1998,21,185,70,296,288
Polina Neykova,/en/teams/bul-bulgaria/players/polina-neykova?id=59906,07/10/1998,21,182,73,287,280
Vasilena Papanova,/en/teams/bul-bulgaria/players/vasilena-papanova?id=60121,02/02/1999,20,179,62,295,289
Velina Minkova,/en/teams/bul-bulgaria/players/velina-minkova?id=60120,02/03/1998,21,173,63,270,260
Djanis Saraivanova,/en/teams/bul-bulgaria/players/djanis-saraivanova?id=60122,20/08/1999,20,186,71,293,280
Emileta Racheva,/en/teams/bul-bulgaria/players/emileta-racheva?id=59907,26/11/1998,21,183,75,288,275
Mihaela Mihaylova,/en/teams/bul-bulgaria/players/mihaela-mihaylova?id=60126,22/05/1999,20,169,57,270,260
Nadin Zaatar,/en/teams/egy-egypt/players/nadin-zaatar?id=60094,25/08/1999,20,179,69,282,274
Nada Meawad,/en/teams/egy-egypt/players/nada-meawad?id=60270,12/04/1998,21,180,71,277,267
Youmna Sabik,/en/teams/egy-egypt/players/youmna-sabik?id=60279,21/08/1998,21,163,51,262,251
Mayar Mohamed,/en/teams/egy-egypt/players/mayar-mohamed?id=60272,05/02/2000,19,184,75,288,276
Noura Moawad,/en/teams/egy-egypt/players/noura-moawad?id=60106,12/04/1998,21,182,80,280,271
Aliaa Helal,/en/teams/egy-egypt/players/aliaa-helal?id=60112,01/01/2000,19,181,71,279,270
Hanya Elshebeny,/en/teams/egy-egypt/players/hanya-elshebeny?id=60111,06/06/1999,20,170,60,273,261
Nourallah Amin,/en/teams/egy-egypt/players/nourallah-amin?id=60282,25/11/2000,19,184,70,285,276
Habiba Khairy,/en/teams/egy-egypt/players/habiba-khairy?id=60109,16/12/1999,20,177,73,280,271
Hana Elmasry,/en/teams/egy-egypt/players/hana-elmasry?id=60099,20/07/2001,18,173,64,276,267
Salma Mahmoud,/en/teams/egy-egypt/players/salma-mahmoud?id=60113,04/02/1999,20,175,56,278,266
Dana Emam,/en/teams/egy-egypt/players/dana-emam?id=60110,04/10/2000,19,181,73,280,271
Uxue Amaya Guereca Parra,/en/teams/mex-mexico/players/uxue-amaya-guereca-parra?id=60471,12/02/2001,18,176,64,270,259
